,word,tokenized_as,tag
0,אברהם,HEB,O
1,גבריאל,HEB,O
2,יהושע,HEB,O
3,(,PUNCT,O
4,שם,HEB,O
5,עט,HEB,O
6,:,PUNCT,O
7,א,HEB,O
8,.,PUNCT,O
0,ב,HEB,O
1,.,PUNCT,O
0,יהושע,HEB,O
1,",",PUNCT,O
2,אברהם,HEB,O
3,ב,HEB,O
4,.,PUNCT,O
0,יהושע,HEB,O
1,",",PUNCT,O
2,כינוי,HEB,O
3,:,PUNCT,O
4,בולי,HEB,O
5,",",PUNCT,O
6,נולד,HEB,O
7,ב-9,HEB,B-DATE
8,בדצמבר,HEB,I-DATE
9,1936,NUM,B-DATE
10,),PUNCT,O
11,הוא,HEB,O
12,סופר,HEB,O
13,",",PUNCT,O
14,מסאי,HEB,O
15,ומחזאי,HEB,O
16,ישראלי,HEB,O
17,",",PUNCT,O
18,חתן,HEB,O
19,פרס,HEB,O
20,ישראל,HEB,O
21,לספרות,HEB,O
22,ושירה,HEB,O
23,לשנת,HEB,O
24,"ה'תשנ""ה",HEB,B-DATE
25,",",PUNCT,O
26,זוכה,HEB,O
27,פרס,HEB,O
28,א.מ.ת,HEB,O
29,לשנת,HEB,O
30,2016,NUM,O
31,בספרות,HEB,O
32,",",PUNCT,O
33,פרופסור,HEB,O
34,אמריטוס,HEB,O
35,באוניברסיטת,HEB,O
36,חיפה,HEB,O
37,.,PUNCT,O
0,יהושע,HEB,O
1,נולד,HEB,O
2,",",PUNCT,O
3,גדל,HEB,O
4,והתחנך,HEB,O
5,בירושלים,HEB,B-ORG
6,.,PUNCT,O
0,מצד,HEB,O
1,אביו,HEB,O
2,",",PUNCT,O
3,יעקב,HEB,B-PERSON
4,יהושע,HEB,I-PERSON
5,בן,HEB,O
6,הרב,HEB,O
7,חנניה,HEB,B-PERSON
8,גבריאל,HEB,I-PERSON
9,",",PUNCT,O
10,הייתה,HEB,O
11,משפחתו,HEB,O
12,ספרדית,HEB,B-NORP
13,ותיקה,HEB,O
14,מירושלים,HEB,O
